_id,algoname,clientID,symbol,realised,unrealised,sum,balance
655d7cca0bc4ecf4b936e4f9,ExpiryWedBHLN,D8460005,NIFTY23NOV2320350CE,2.5,0,2.5,1400000
655d7cca0bc4ecf4b936e4fa,ExpiryWedBHLN,D0350354,NIFTY23NOV2320350CE,2.5,0,2.5,600000
655d7cca0bc4ecf4b936e4fb,ExpiryWedBHLN,B1700057,NIFTY23NOV2320350CE,2.5,0,2.5,5000000
655d7cca0bc4ecf4b936e4fc,ExpiryWedBHLN,D9550002,NIFTY23NOV2320350CE,2.5,0,2.5,2400000
655d7cca0bc4ecf4b936e4fd,ExpWStdBHLN,D9550002,NIFTY23NOV2320200CE,5,0,5,2400000
655d7cca0bc4ecf4b936e4fe,ExpWStdBHLN,B1700057,NIFTY23NOV2320200CE,5,0,5,5000000
655d7cca0bc4ecf4b936e4ff,ExpWStdBHLN,D8460002,NIFTY23NOV2320200CE,10,0,10,2700000
655d7ccf0bc4ecf4b936e500,ExpiryWedBHLN,D9550017,NIFTY23NOV2319850CE,0,1902.5,1902.5,1000000
655d7ccf0bc4ecf4b936e501,ExpiryWedBHLN,B1700057,NIFTY23NOV2319850CE,0,1897.5,1897.5,5000000
655d7ccf0bc4ecf4b936e502,ExpiryWedBHLN,D7730008,NIFTY23NOV2319850CE,0,1897.5,1897.5,2000000
655d7ccf0bc4ecf4b936e503,ExpiryWedBHLN,D7730007,NIFTY23NOV2319850CE,0,1897.5,1897.5,1800000
655d7ccf0bc4ecf4b936e504,ExpiryWedBHLN,D0350354,NIFTY23NOV2319850CE,0,1897.5,1897.5,600000
655d7ccf0bc4ecf4b936e505,ExpiryWedBHLN,D8460005,NIFTY23NOV2319850CE,0,1900,1900,1400000
655d7ccf0bc4ecf4b936e506,ExpiryWedBHLN,D8460002,NIFTY23NOV2319850CE,0,3780,3780,2700000
655d7ccf0bc4ecf4b936e507,ExpiryWedBHLN,D8460006,NIFTY23NOV2319850CE,0,1890,1890,1000000
655d7ccf0bc4ecf4b936e508,ExpiryWedBHLN,D9550005,NIFTY23NOV2319850CE,0,1907.5,1907.5,1000000
655d7ccf0bc4ecf4b936e509,ExpiryWedBHLN,D9550002,NIFTY23NOV2319850CE,0,1900,1900,2400000
